Country,Activity,Location,Sex,Fatal Y/N,Species,Type
USA,unknown,"Seaview Beach, Suffolk County",M,No,,Unprovoked
USA,Surfing related,"Smith Point Beach, Suffolk County",M,No,Thought to involve a 4' sandtiger shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,6' shark,Unprovoked
USA,Other,"Ocean Beach, Long Island",M,No,,Unprovoked
JAPAN,Diving related,Nago,M,Yes,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Other,"Smith Point Beach, Suffolk County",M,No,5'shark,Unprovoked
INDONESIA,Surfing related,Balian Beach,F,No,,Unprovoked
EGYPT,Diving related,Sahl Hasheesh,F,Yes,Oceaniic whitetip shark/tiger shark,Unprovoked
EGYPT,Swimming related,Sahl Hasheesh,F,Yes,"Oceaniic whitetip shark/tiger shark, 2m shark",Unprovoked
USA,Swimming related,"Jones Beach, Nassau County",M,No,Shark involvement not confirmed,Unprovoked
USA,Other,"Keaton Beach, ",F,No,9' shark,Unprovoked
USA,Swimming related,"Sawyer Key , Monroe County",F,No,,Unprovoked
USA,Other,"Summerland Key, Monroe County",M,No,,Unprovoked
SOUTH AFRICA,Swimming related,"Sanctuary Beach, Plettenberg Bay",M,Yes,While shark,Unprovoked
JAMAICA,Fishing related,,M,No,"Tiger shark, 15'",Unprovoked
USA,unknown,"Redington Beach, Pinellas County",F,No,,Unprovoked
USA,Swimming related,"Pacific Grove, Monterey County",M,No,"White shark, 16'",Unprovoked
USA,unknown,"Myrtle Beach, Horry County",M,No,,Unprovoked
AUSTRALIA,Swimming related,Oyster Stacks near Exmouth12h15,F,No,,Unprovoked
AUSTRALIA,Surfing related,Yallingup,Unknown,No,"Bronze whaler shark, 2m",Unprovoked
AUSTRALIA,Diving related,"Royal Perth Yacht Club, Swan River",M,No,Bull shark,Unprovoked
BELIZE,Fishing related,Off San Pedro,M,No,5' shark,Provoked
MALDIVES,Fishing related,"Maafilaafushi Island, Lhaviyani Atoll ",M,No,,Unprovoked
FRENCH POLYNESIA,unknown,To'opua,Unknown,No,,Unprovoked
USA,Fishing related,"Île de Saint Simon, Glynn County",M,No,Atlantic blacktip shark,Provoked
THAILAND,Other,Kamala Beach,M,No,1m shark,Unprovoked
FRENCH POLYNESIA,unknown,"Pointe des pêcheurs, Punaahuia",M,No,"Tiger shark, 2 to 2.5m",Unprovoked
AUSTRALIA,Surfing related,,M,No,,Unprovoked
USA,unknown,"Whale Harbor, Islamorada, Monroe County",M,No,,Unprovoked
USA,Swimming related,"Gulf Shores, Baldwin County",M,No,,Unprovoked
USA,Swimming related,"Higkand Beach, Palm Beach County",M,No,4' shark,Unprovoked
USA,Other,Tutle Back Zoo,F,No,Epaulette shark,Provoked
USA,Boating related,Canaveral National Seashore,M,No,,Unprovoked
SOUTH AFRICA,unknown,LaLucia,M,Unknown,,
USA,Fishing related,"Lake Worth Beach, Palm Beach County",M,No,,Provoked
